0.000000  0.000000 
0.187500  0.186403 
0.375000  0.366273 
0.562500  0.533303 
0.750000  0.681639 
0.937500  0.806081 
1.125000  0.902268 
1.312500  0.966827 
1.500000  0.997495 
1.687500  0.993198 
1.875000  0.954086 
2.062500  0.881530 
2.250000  0.778073 
2.437500  0.647343 
2.625000  0.493920 
2.812500  0.323185 
3.000000  0.141120 
3.187500  -0.045891 
3.375000  -0.231294 
3.562500  -0.408589 
3.750000  -0.571561 
3.937500  -0.714499 
4.125000  -0.832390 
4.312500  -0.921104 
4.500000  -0.977530 
4.687500  -0.999690 
4.875000  -0.986808 
5.062500  -0.939335 
5.250000  -0.858935 
5.437500  -0.748426 
5.625000  -0.611682 
5.812500  -0.453497 
6.000000  -0.279415 
