0.000000 0.000000
0.100000 0.013753
0.200000 0.026882
0.300000 0.039386
0.400000 0.051267
0.500000 0.062524
0.600000 0.073156
0.700000 0.083165
0.800000 0.092549
0.900000 0.101310
1.000000 0.109446
1.100000 0.116958
1.200000 0.123847
1.300000 0.130111
1.400000 0.135751
1.500000 0.140767
1.600000 0.145159
1.700000 0.148927
1.800000 0.152071
1.900000 0.154590
2.000000 0.156486
2.100000 0.157758
2.200000 0.158405
2.300000 0.158429
2.400000 0.157828
2.500000 0.156604
2.600000 0.154755
2.700000 0.152282
2.799999 0.149186
2.899999 0.145465
2.999999 0.141120
3.099999 0.136151
3.199999 0.130558
3.299999 0.124341
3.399999 0.117500
3.499999 0.110035
3.599999 0.101946
3.699999 0.093232
3.799999 0.083895
3.899998 0.073933
3.999998 0.063348
4.099998 0.052138
4.199998 0.040305
4.299998 0.027847
4.399998 0.014765
4.499998 0.001060
4.599998 -0.013270
4.699998 -0.028224
4.799998 -0.043802
4.899998 -0.060004
4.999998 -0.076830
5.099998 -0.094280
5.199997 -0.112354
5.299997 -0.131053
5.399997 -0.150375
5.499997 -0.170321
5.599997 -0.190892
5.699997 -0.212086
5.799997 -0.233905
5.899997 -0.256348
5.999997 -0.279414
